team_year,year,team,team,region,seed,finish,conference,logo,color_main,color_secondary,color_alternate,ovr_rating_bpi,ovr_rating_kenpom,ovr_rating_miya,ovr_rating_torvik,wab,off_rating_bpi,off_rating_kenpom,off_rating_miya,off_rating_torvik,def_rating_bpi,def_rating_kenpom,def_rating_miya,def_rating_torvik,efg%_off,ftr_off,reb%_off,to%_off,efg%_def,ftr_def,reb%_def,to%_def,2p%_off,3p%_off,eff_off,ft%_off,2p%_def,3p%_def,eff_def,ft%_def,true_tempo,10pt_runs_per_game,10pt_runs_conceded_per_game,10pt_runs_total,10pt_runs_conceded_total,experience,height_eff,size,bench,adj_tempo,tempo_kenpom,adj_tempo_kenpom,point_dist_ft_off,point_dist_2p_off,point_dist_3p_off,point_dist_ft_def,point_dist_2p_def,point_dist_3p_def,pos_point_dist_1,pos_point_dist_2,pos_point_dist_3,pos_point_dist_4,pos_point_dist_5,pos_reb_dist_1_off,pos_reb_dist_2_off,pos_reb_dist_3_off,pos_reb_dist_4_off,pos_reb_dist_5_off,pos_reb_dist_1_def,pos_reb_dist_2_def,pos_reb_dist_3_def,pos_reb_dist_4_def,pos_reb_dist_5_def,rank_ovr_miya,rank_off_rating_miya,rank_def_rating_miya,rank_ovr_rating_kenpom,rank_off_rating_kenpom,rank_def_rating_kenpom,rank_eff_off,rank_eff_def,rank_point_dist_ft_off,rank_point_dist_2p_off,rank_point_dist_3p_off,rank_point_dist_ft_def,rank_point_dist_2p_def,rank_point_dist_3p_def,rank_true_tempo,rank_adj_tempo,rank_injury,rank_home,rank_height_eff,rank_experience,rank_bench,rank_size,rank_height_1,rank_height_2,rank_height_3,rank_height_4,rank_height_5,rank_pos_point_dist_1,rank_pos_point_dist_2,rank_pos_point_dist_3,rank_pos_point_dist_4,rank_pos_point_dist_5,rank_pos_reb_dist_1_off,rank_pos_reb_dist_2_off,rank_pos_reb_dist_3_off,rank_pos_reb_dist_4_off,rank_pos_reb_dist_5_off,rank_pos_reb_dist_1_def,rank_pos_reb_dist_2_def,rank_pos_reb_dist_3_def,rank_pos_reb_dist_4_def,rank_pos_reb_dist_5_def
2024 Purdue,2024,Purdue,Purdue,Midwest,1,In Progress,Big 10,,#FF9E25,#FFCA88,#FFA22E,16.8,28.6925,28.07241415,0.972992494,5.143493099,10.6,123.65,17.88431991,124.9877999,6.2,94.9576,10.18809423,91.51850707,56.8,40.4,36.6,17,46.7,23.4,24.3,15.3,55.1,39.8,118.602,72.1,47.1,30.8,97.1772,69.8,69.47642018,0.882352941,0.294117647,15,5,2.34304,3.04,78.17,32.63,71.1,71.1245,68.3989,20.41522491,48.44290657,31.14186851,14.89001692,51.60744501,33.50253807,19.59,19.98,15.34,15.39,29.64,6.35,5.04,17.11,24.38,47.03,20.91,11.55,14.01,20.15,33.32,2,1,9,3,2,22,8,51,104,246,159,340,153,78,191,175,2,15,1,81,163,39,257,267,126,49,1,221,174,315,307,4,240,341,174,203,32,18,343,331,269,29
2024 Tennessee,2024,Tennessee,Tennessee,Midwest,2,In Progress,SEC,,#FFC479,#FFBB65,#FFAF4B,14.9,25.2712,24.11524629,0.934049675,2.336885322,6.3,116.733,10.94293072,115.1590922,8.6,91.4621,13.17231557,91.45300255,51.2,32.6,33.6,15.8,43.9,37.8,26.9,18.9,51.7,33.7,111.488,77,42.5,30.8,93.012,69.9,70.37500021,0.6875,0.1875,11,3,2.77829,0.4,76.88,30.31,70.8,70.7414,70.2164,19.69817315,47.18030183,33.12152502,23.10606061,45.64393939,31.25,16.27,18.26,23.53,20.04,21.81,6.97,11.76,13.57,25.38,42.26,12.51,14.68,18.16,27.52,27.07,5,19,2,8,20,4,61,12,140,286,102,29,327,143,134,84,5,39,115,22,216,218,324,201,165,166,87,300,242,58,169,105,216,169,253,186,92,255,265,218,65,132
2024 Baylor,2024,Baylor,Baylor,Midwest,3,In Progress,Big 12,,#FFAE48,#FFEAD1,#FFC173,13.3,22.5877,18.84584972,0.901515672,2.794397242,10.7,121.419,14.95279766,120.6230104,2.6,98.8315,3.893052058,99.49751555,58.5,37.5,35.5,16.4,48.6,30.6,28,18.2,54.4,43.7,122.997,74.1,50.7,29.6,98.7499,73.1,68.99192551,1.066666667,0.133333333,16,2,2.1878,1.39,78.14,33.55,69,68.9509,67.7272,19.20374707,47.77517564,33.02107728,18.70155039,56.58914729,24.70930233,22.41,19.41,22.71,15.56,19.74,7.27,9.76,12.12,23.92,46.71,20.11,18.14,14.38,22.77,24.46,16,4,91,14,4,57,3,82,169,269,105,185,28,330,225,218,16,21,27,103,136,41,67,56,190,32,49,115,197,79,306,168,204,229,288,212,34,24,120,327,192,208
2024 Clemson,2024,Clemson,Clemson,Midwest,4,In Progress,ACC,,#FFC67E,#FFEFDB,#FFD299,10.3,17.6433,13.64299353,0.887108271,1.861243835,7.4,118.039,10.57704193,118.9156347,2.8,100.396,3.065951599,99.39980285,55.8,26.2,29.2,14.8,49.4,30.3,25,13.7,56,37,116.482,76.6,47.8,34.4,104.765,72.4,68.96587016,0.5625,0.375,9,6,2.65007,1.27,78.2,31.22,68.8,68.8234,67.2775,15.25291829,51.3618677,33.38521401,18.18181818,46.75324675,35.06493506,20.23,14.98,17.63,27.68,19.43,4.34,6.08,34.68,33.91,20.84,16.18,12.97,26.18,25.75,18.81,40,13,104,31,14,81,16,185,329,166,98,207,306,51,228,236,40,43,37,34,189,34,69,156,40,12,106,203,333,252,11,177,315,324,4,62,348,100,307,19,105,341
2024 Dayton,2024,Dayton,Dayton,Midwest,5,In Progress,A10,,#FFCD8D,#FFE9CD,#FFD29A,10.2,18.0996,13.48137525,0.882983411,3.204218091,6.8,118.753,9.274979408,120.288972,3.4,100.653,4.206395839,100.9028958,56.9,37.9,29,17.1,46.8,20.4,32.8,16.5,53.8,40.3,115.352,75.4,46.1,32,101.707,71,64.95247831,0.666666667,0.466666667,10,7,2.37649,0.54,76.96,24.3,63.5,63.5367,63.008,20.07266122,40.69028156,39.23705722,13.42975207,54.33884298,32.23140496,15.55,16.12,20.58,19.44,28.16,8.35,11.81,14.46,36.54,28.63,8.03,19.16,23.28,21.54,27.8,41,32,84,28,10,87,22,125,122,359,15,357,64,111,357,356,41,248,98,77,323,212,316,268,116,139,84,321,306,148,196,9,170,162,228,35,294,359,89,70,229,118
2024 Villanova,2024,Villanova,Villanova,Midwest,6,In Progress,Big East,,#FFC884,#FFD29A,#FFC174,10.9,18.1297,18.65587176,0.876612499,0.121359017,5.9,115.01,10.07813346,113.27782,5,96.8799,8.577738299,95.52086158,50.3,31.9,29.7,15.1,48.8,26.7,23.8,16.9,50.1,33.6,110.565,81.8,47.4,33.9,98.6774,69.9,66.84548192,0.733333333,0.533333333,11,8,2.9308,-0.31,77.83,34.64,65.7,65.7255,65.5355,20.6022187,40.88748019,38.51030111,16.04609929,48.58156028,35.37234043,17.78,19.01,21.83,23.92,17.47,4.24,16.13,17.62,37.6,24.42,11.99,16.83,19.33,29.04,22.81,18,25,24,26,38,38,72,80,96,358,22,307,259,44,327,310,18,322,216,17,113,72,37,16,145,109,305,263,211,107,59,243,319,51,157,23,337,277,174,179,37,264
2024 Colorado St.,2024,Colorado St.,Colorado St.,Midwest,7,In Progress,MWC,,#FFC378,#FFE9CD,#FFCC8D,7.4,18.2509,15.27145941,0.888675468,1.940816506,6.5,117.731,11.02149729,117.2624573,0.9,99.4798,4.249962116,97.88383215,58,33,23.3,15.1,50.2,28.8,27.4,18.1,60.2,36.1,115.579,75.9,49.9,33.9,102.158,73,68.72920702,0.785714286,0.214285714,11,3,2.3348,-1.22,76.48,35.05,68.7,68.7018,66.939,17.75784753,53.4529148,28.78923767,17.31160896,52.74949084,29.9389002,23.66,13.5,17.32,21.17,24.23,8.86,23.05,10.29,28.9,28.76,12.19,22.1,19.97,27.63,18,32,18,83,25,17,67,21,138,230,101,230,265,116,192,240,252,32,156,331,82,105,289,246,173,240,248,345,87,349,262,121,42,153,8,327,129,292,268,17,158,63,348
2024 South Carolina,2024,South Carolina,South Carolina,Midwest,8,In Progress,SEC,,#FFE6C8,#FFE3C0,#FFDEB6,5.8,12.0644,9.803539295,0.799826085,1.989040767,2.5,111.51,4.488285321,111.0425199,3.3,99.4455,5.315253974,98.4412913,50.9,32.1,34.8,16.4,46.9,31.2,26.6,16.9,51.2,33.6,111.546,74.5,45.1,33.8,98.1445,70.7,66.35905655,0.625,0.25,10,4,2.9029,-0.21,77.38,33.78,65.1,65.0512,64.1972,19.02313625,46.27249357,34.70437018,19.02439024,51.70731707,29.26829268,27.68,15.19,17.87,21.08,18.18,10.49,13.2,16.78,23.68,35.85,17.77,15.77,14.4,23.56,28.5,72,87,63,65,69,66,59,69,178,305,63,169,151,216,342,343,72,70,194,18,131,146,89,148,159,137,258,24,329,247,127,218,100,117,186,220,181,62,219,326,170,100
2024 Miami FL,2024,Miami FL,Miami FL,Midwest,9,In Progress,ACC,,#FFCE90,#FFEDD7,#FFD6A2,8.8,13.0313,12.43942488,0.849158353,0.364247963,6.7,115.554,9.044920359,116.1421303,2.1,102.522,3.394504523,99.93825253,57,26.9,29.5,17.5,48.9,19,27.7,18.2,54.5,40.7,114.599,78.7,53.4,29,99.4513,75.5,71.44243022,1.1875,0.5625,19,9,2.26119,-0.39,77.32,27.43,72.4,72.3774,70.8098,15.68334578,50.0373413,34.27931292,12.88927336,52.07612457,35.03460208,18.02,20.54,23.75,23.58,14.04,4.07,8.41,26.64,37.14,23.57,11.68,19.3,18.95,28.67,21.31,49,35,100,58,30,118,30,92,322,199,72,360,141,52,80,68,49,122,232,91,276,152,221,149,23,174,264,258,158,53,66,334,323,275,25,30,342,288,84,193,47,297
2024 Nebraska,2024,Nebraska,Nebraska,Midwest,10,In Progress,Big 10,,#FFD8A7,#FFE9CF,#FFDAAB,7.1,14.4923,11.25480123,0.836884412,1.117414671,4.7,115.778,7.176304681,115.427049,2.4,101.286,4.078496545,100.1275705,52.8,34.7,30.6,15.5,46.8,24.3,28.6,16.8,53.8,34.4,112.997,75.2,45.6,32.3,100.049,71.6,70.29961552,0.823529412,0.352941176,14,6,2.52982,0.16,77.45,36.82,69.7,69.5235,68.6883,19.83471074,44.77836213,35.38692712,15.65957447,47.82978723,36.5106383,20.85,17.2,20.95,20.17,20.69,7.53,10.2,27.12,25.08,29.89,14.01,16.54,19.29,21.88,28.12,59,46,86,49,27,95,43,102,133,332,52,321,276,22,137,151,59,79,151,48,62,131,171,142,101,123,182,179,267,134,164,138,195,220,20,196,277,179,186,180,220,104
